record_type,sample_id,kind,method,artifact,passed,path,differences_count,kind_of_difference,baseline,revision
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/00,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/00,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/00,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/00,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/00,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/00,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/00,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/01,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/01,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/01,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/01,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/01,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/01,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/01,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/02,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/02,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/02,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/02,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/02,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/02,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/02,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/03,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/03,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/03,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/03,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/03,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/03,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/03,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/04,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/04,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/04,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/04,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/04,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/04,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/04,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/05,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/05,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/05,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/05,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/05,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/05,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/05,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/06,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/06,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/06,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/06,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/06,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/06,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/06,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/07,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/07,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/07,controlled,POISON,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/07,controlled,HAIRCUT,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/07,controlled,NO_CROSS_TARGET_COUPLING,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/07,controlled,NO_PROTOCOL_CONTINUATION,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/07,controlled,BALANCE_INFORMATION_REMOVED,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/08,controlled,FULL_INTERVAL,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/08,controlled,BOUNDED_REACHABILITY,METHOD_RESULTS,True,,0,,,
METHOD_PAIR,controlled-v1/missing_information_and_boundary_controls/08,controlled,POISON,METHOD_RESULTS,True,,0,,,
